DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,IT,1963-01-01,51060100.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,LI,1963-01-01,17761.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,LT,1963-01-01,2881100.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,LU,1963-01-01,322700.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,LV,1963-01-01,2195640.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,MK,1963-01-01,1438342.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,NL,1963-01-01,11889962.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,NO,1963-01-01,3653006.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,PL,1963-01-01,30484000.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,PT,1963-01-01,9018730.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,RO,1963-01-01,18737200.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,SE,1963-01-01,7581148.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,SI,1963-01-01,1607941.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,SK,1963-01-01,4259549.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,TR,1963-01-01,29162545.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,UK,1963-01-01,53500000.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,AL,1964-01-01,1788404.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,AT,1964-01-01,7199798.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,BA,1964-01-01,3480448.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,BE,1964-01-01,9328126.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,BG,1964-01-01,8111132.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,CH,1964-01-01,5749299.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,CY,1964-01-01,585500.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,CZ,1964-01-01,9699179.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,DE,1964-01-01,57864509.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,DE_TOT,1964-01-01,75045592.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,DK,1964-01-01,4703136.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,EE,1964-01-01,1267910.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,EFTA,1964-01-01,9635106.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,EL,1964-01-01,8495834.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,ES,1964-01-01,31442070.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,FI,1964-01-01,4539519.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,FX,1964-01-01,48059029.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,HR,1964-01-01,4239572.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,HU,1964-01-01,10104179.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,IE,1964-01-01,2860300.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,IS,1964-01-01,187314.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,IT,1964-01-01,51443900.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,LI,1964-01-01,18425.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,LT,1964-01-01,2916800.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,LU,1964-01-01,325500.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,LV,1964-01-01,2226198.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,MK,1964-01-01,1461522.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,NL,1964-01-01,12041970.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,NO,1964-01-01,3680068.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,PL,1964-01-01,30940000.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,PT,1964-01-01,9041980.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,RO,1964-01-01,18858500.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,SE,1964-01-01,7627507.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,SI,1964-01-01,1626000.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,SK,1964-01-01,4304484.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,TR,1964-01-01,29939582.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,UK,1964-01-01,53800000.0,,
ESTAT:DEMO_PJAN(1.0),08/05/26 11:00:00,A,NR,TOTAL,T,AL,1965-01-01,1839866.0,,
